Hubs			Lower bound		Current_obj_fun		Best_obj_fun
[0,1,3,7,12]   		85872.848		NaN				79263.617
[0,1,3,7,13]   		88783.637		NaN				79263.617
[0,1,3,7,14]   		88945.663		NaN				79263.617
[0,1,3,7,15]   		88778.903		NaN				79263.617
[0,1,3,7,16]   		85160.872		NaN				79263.617
[0,1,3,7,17]   		89234.203		NaN				79263.617
[0,1,3,7,18]   		85883.393		NaN				79263.617
[0,1,3,7,19]   		83103.475		NaN				79263.617
[0,1,3,8,9]    		86705.697		NaN				79263.617
[0,1,3,8,10]   		86501.158		NaN				79263.617
[0,1,3,8,11]   		84733.367		NaN				79263.617
[0,1,3,8,12]   		84235.117		NaN				79263.617
[0,1,3,8,13]   		84721.651		NaN				79263.617
[0,1,3,8,14]   		86154.406		NaN				79263.617
[0,1,3,8,15]   		87143.516		NaN				79263.617
[0,1,3,8,16]   		85020.208		NaN				79263.617
[0,1,3,8,17]   		84365.243		NaN				79263.617
[0,1,3,8,18]   		83846.766		NaN				79263.617
[0,1,3,8,19]   		85722.845		NaN				79263.617
[0,1,3,9,10]   		85848.443		NaN				79263.617
[0,1,3,9,11]   		83477.628		NaN				79263.617
[0,1,3,9,12]   		83295.387		NaN				79263.617
[0,1,3,9,13]   		83391.107		NaN				79263.617
[0,1,3,9,14]   		84896.909		NaN				79263.617
[0,1,3,9,15]   		86352.064		NaN				79263.617
[0,1,3,9,16]   		84342.032		NaN				79263.617
[0,1,3,9,17]   		83313.933		NaN				79263.617
[0,1,3,9,18]   		82806.212		NaN				79263.617
[0,1,3,9,19]   		85561.236		NaN				79263.617
[0,1,3,10,11]  		84629.590		NaN				79263.617
[0,1,3,10,12]  		84953.680		NaN				79263.617
[0,1,3,10,13]  		84583.969		NaN				79263.617
[0,1,3,10,14]  		86021.582		NaN				79263.617
[0,1,3,10,15]  		87005.834		NaN				79263.617
[0,1,3,10,16]  		86212.638		NaN				79263.617
[0,1,3,10,17]  		84176.963		NaN				79263.617
[0,1,3,10,18]  		84567.696		NaN				79263.617
[0,1,3,10,19]  		85553.173		NaN				79263.617
[0,1,3,11,12]  		85834.308		NaN				79263.617
[0,1,3,11,13]  		88271.254		NaN				79263.617
[0,1,3,11,14]  		87993.702		NaN				79263.617
[0,1,3,11,15]  		88385.664		NaN				79263.617
[0,1,3,11,16]  		85917.335		NaN				79263.617
[0,1,3,11,17]  		87980.913		NaN				79263.617
[0,1,3,11,18]  		86719.883		NaN				79263.617
[0,1,3,11,19]  		82757.473		NaN				79263.617
[0,1,3,12,13]  		85860.669		NaN				79263.617
[0,1,3,12,14]  		86504.786		NaN				79263.617
[0,1,3,12,15]  		86931.093		NaN				79263.617
[0,1,3,12,16]  		86411.216		NaN				79263.617
[0,1,3,12,17]  		85487.542		NaN				79263.617
[0,1,3,12,18]  		87083.398		NaN				79263.617
[0,1,3,12,19]  		83335.462		NaN				79263.617
[0,1,3,13,14]  		88830.215		NaN				79263.617
[0,1,3,13,15]  		88378.862		NaN				79263.617
[0,1,3,13,16]  		85258.928		NaN				79263.617
[0,1,3,13,17]  		88398.331		NaN				79263.617
[0,1,3,13,18]  		85964.855		NaN				79263.617
[0,1,3,13,19]  		82673.124		NaN				79263.617
[0,1,3,14,15]  		90060.134		NaN				79263.617
[0,1,3,14,16]  		86572.851		NaN				79263.617
[0,1,3,14,17]  		88560.357		NaN				79263.617
[0,1,3,14,18]  		86013.876		NaN				79263.617
[0,1,3,14,19]  		84133.023		NaN				79263.617
[0,1,3,15,16]  		87221.383		NaN				79263.617
[0,1,3,15,17]  		88393.597		NaN				79263.617
[0,1,3,15,18]  		86630.278		NaN				79263.617
[0,1,3,15,19]  		85539.484		NaN				79263.617
[0,1,3,16,17]  		84775.566		NaN				79263.617
[0,1,3,16,18]  		86032.222		NaN				79263.617
[0,1,3,16,19]  		84669.225		NaN				79263.617
[0,1,3,17,18]  		85498.087		NaN				79263.617
[0,1,3,17,19]  		82647.268		NaN				79263.617
[0,1,3,18,19]  		82841.863		NaN				79263.617
[0,1,4,5,6]    		95815.878		NaN				79263.617
[0,1,4,5,7]    		87249.430		NaN				79263.617
[0,1,4,5,8]    		93687.898		NaN				79263.617
[0,1,4,5,9]    		93253.998		NaN				79263.617
[0,1,4,5,10]   		91945.635		NaN				79263.617
[0,1,4,5,11]   		85767.502		NaN				79263.617
[0,1,4,5,12]   		87330.922		NaN				79263.617
[0,1,4,5,13]   		88729.772		NaN				79263.617
[0,1,4,5,14]   		94237.922		NaN				79263.617
[0,1,4,5,15]   		94406.705		NaN				79263.617
[0,1,4,5,16]   		87330.027		NaN				79263.617
[0,1,4,5,17]   		86631.915		NaN				79263.617
[0,1,4,5,18]   		86543.832		NaN				79263.617
[0,1,4,5,19]   		91998.855		NaN				79263.617
[0,1,4,6,7]    		95767.675		NaN				79263.617
[0,1,4,6,8]    		102918.555		NaN				79263.617
[0,1,4,6,9]    		99136.174		NaN				79263.617
[0,1,4,6,10]   		96897.669		NaN				79263.617
[0,1,4,6,11]   		91353.474		NaN				79263.617
[0,1,4,6,12]   		96669.028		NaN				79263.617
[0,1,4,6,13]   		98619.192		NaN				79263.617
[0,1,4,6,14]   		112051.855		NaN				79263.617
[0,1,4,6,15]   		109513.090		NaN				79263.617
[0,1,4,6,16]   		93840.887		NaN				79263.617
[0,1,4,6,17]   		95094.116		NaN				79263.617
[0,1,4,6,18]   		95155.019		NaN				79263.617
[0,1,4,6,19]   		93783.825		NaN				79263.617
[0,1,4,7,8]    		87872.089		NaN				79263.617
[0,1,4,7,9]    		85686.815		NaN				79263.617
[0,1,4,7,10]   		87006.683		NaN				79263.617
[0,1,4,7,11]   		90286.576		NaN				79263.617
[0,1,4,7,12]   		89689.300		NaN				79263.617
[0,1,4,7,13]   		94992.355		NaN				79263.617
[0,1,4,7,14]   		95454.368		NaN				79263.617
[0,1,4,7,15]   		94426.349		NaN				79263.617
[0,1,4,7,16]   		87915.758		NaN				79263.617
[0,1,4,7,17]   		94826.482		NaN				79263.617
[0,1,4,7,18]   		88498.670		NaN				79263.617
[0,1,4,7,19]   		84576.226		NaN				79263.617
[0,1,4,8,9]    		98991.257		NaN				79263.617
[0,1,4,8,10]   		95125.376		NaN				79263.617
[0,1,4,8,11]   		85611.176		NaN				79263.617
[0,1,4,8,12]   		90073.170		NaN				79263.617
[0,1,4,8,13]   		89885.914		NaN				79263.617
[0,1,4,8,14]   		101337.307		NaN				79263.617
[0,1,4,8,15]   		99327.512		NaN				79263.617
[0,1,4,8,16]   		89171.719		NaN				79263.617
[0,1,4,8,17]   		87198.531		NaN				79263.617
[0,1,4,8,18]   		89086.999		NaN				79263.617
[0,1,4,8,19]   		93260.576		NaN				79263.617
[0,1,4,9,10]   		94325.968		NaN				79263.617
[0,1,4,9,11]   		84365.635		NaN				79263.617
[0,1,4,9,12]   		88254.588		NaN				79263.617
[0,1,4,9,13]   		88065.352		NaN				79263.617
[0,1,4,9,14]   		97736.242		NaN				79263.617
[0,1,4,9,15]   		96602.747		NaN				79263.617
[0,1,4,9,16]   		88091.023		NaN				79263.617
[0,1,4,9,17]   		85034.307		NaN				79263.617
[0,1,4,9,18]   		87244.186		NaN				79263.617
[0,1,4,9,19]   		93146.871		NaN				79263.617
[0,1,4,10,11]  		85220.279		NaN				79263.617
[0,1,4,10,12]  		89058.573		NaN				79263.617
[0,1,4,10,13]  		88165.782		NaN				79263.617
[0,1,4,10,14]  		95388.000		NaN				79263.617
[0,1,4,10,15]  		94292.435		NaN				79263.617
[0,1,4,10,16]  		89183.248		NaN				79263.617
[0,1,4,10,17]  		86357.079		NaN				79263.617
[0,1,4,10,18]  		88227.291		NaN				79263.617
[0,1,4,10,19]  		92189.504		NaN				79263.617
[0,1,4,11,12]  		87823.466		NaN				79263.617
[0,1,4,11,13]  		91085.255		NaN				79263.617
[0,1,4,11,14]  		90169.663		NaN				79263.617
[0,1,4,11,15]  		90581.674		NaN				79263.617
[0,1,4,11,16]  		86642.234		NaN				79263.617
[0,1,4,11,17]  		89766.201		NaN				79263.617
[0,1,4,11,18]  		87888.867		NaN				79263.617
[0,1,4,11,19]  		83021.970		NaN				79263.617
[0,1,4,12,13]  		91909.946		NaN				79263.617
[0,1,4,12,14]  		95531.051		NaN				79263.617
[0,1,4,12,15]  		94662.690		NaN				79263.617
[0,1,4,12,16]  		91513.880		NaN				79263.617
[0,1,4,12,17]  		89015.741		NaN				79263.617
[0,1,4,12,18]  		94538.346		NaN				79263.617
[0,1,4,12,19]  		86202.138		NaN				79263.617
[0,1,4,13,14]  		97414.376		NaN				79263.617
[0,1,4,13,15]  		97294.486		NaN				79263.617
[0,1,4,13,16]  		89808.779		NaN				79263.617
[0,1,4,13,17]  		94318.796		NaN				79263.617
[0,1,4,13,18]  		90863.073		NaN				79263.617
[0,1,4,13,19]  		85720.008		NaN				79263.617
[0,1,4,14,15]  		108293.764		NaN				79263.617
[0,1,4,14,16]  		92549.593		NaN				79263.617
[0,1,4,14,17]  		94780.809		NaN				79263.617
[0,1,4,14,18]  		94389.736		NaN				79263.617
[0,1,4,14,19]  		92326.544		NaN				79263.617
[0,1,4,15,16]  		91853.301		NaN				79263.617
[0,1,4,15,17]  		93752.790		NaN				79263.617
[0,1,4,15,18]  		93593.199		NaN				79263.617
[0,1,4,15,19]  		91867.335		NaN				79263.617
[0,1,4,16,17]  		87242.199		NaN				79263.617
[0,1,4,16,18]  		90812.665		NaN				79263.617
[0,1,4,16,19]  		86563.563		NaN				79263.617
[0,1,4,17,18]  		87825.111		NaN				79263.617
[0,1,4,17,19]  		83979.800		NaN				79263.617
[0,1,4,18,19]  		85416.418		NaN				79263.617
[0,1,5,6,7]    		87791.052		NaN				79263.617
[0,1,5,6,8]    		97577.590		NaN				79263.617
[0,1,5,6,9]    		96789.428		NaN				79263.617
[0,1,5,6,10]   		95532.888		NaN				79263.617
[0,1,5,6,11]   		86616.872		NaN				79263.617
[0,1,5,6,12]   		90299.254		NaN				79263.617
[0,1,5,6,13]   		88935.391		NaN				79263.617
[0,1,5,6,14]   		97189.828		NaN				79263.617
[0,1,5,6,15]   		97786.423		NaN				79263.617
[0,1,5,6,16]   		90526.546		NaN				79263.617
[0,1,5,6,17]   		87173.537		NaN				79263.617
[0,1,5,6,18]   		88823.461		NaN				79263.617
[0,1,5,6,19]   		95509.972		NaN				79263.617
[0,1,5,7,8]    		85670.344		NaN				79263.617
[0,1,5,7,9]    		85294.076		NaN				79263.617
[0,1,5,7,10]   		85311.176		NaN				79263.617
[0,1,5,7,11]   		85409.566		NaN				79263.617
[0,1,5,7,12]   		84509.746		NaN				79263.617
[0,1,5,7,13]   		86733.777		NaN				79263.617
[0,1,5,7,14]   		87088.387		NaN				79263.617
[0,1,5,7,15]   		86975.515		NaN				79263.617
[0,1,5,7,16]   		84211.691		NaN				79263.617
[0,1,5,7,17]   		87017.840		NaN				79263.617
[0,1,5,7,18]   		83652.852		NaN				79263.617
[0,1,5,7,19]   		84841.331		NaN				79263.617
[0,1,5,8,9]    		97272.911		NaN				79263.617
[0,1,5,8,10]   		95412.462		NaN				79263.617
[0,1,5,8,11]   		85201.359		NaN				79263.617
[0,1,5,8,12]   		89360.337		NaN				79263.617
[0,1,5,8,13]   		86987.349		NaN				79263.617
[0,1,5,8,14]   		95114.993		NaN				79263.617
[0,1,5,8,15]   		96328.575		NaN				79263.617
[0,1,5,8,16]   		89692.927		NaN				79263.617
[0,1,5,8,17]   		84996.786		NaN				79263.617
[0,1,5,8,18]   		87843.584		NaN				79263.617
[0,1,5,8,19]   		95679.580		NaN				79263.617
[0,1,5,9,10]   		95133.287		NaN				79263.617
[0,1,5,9,11]   		84662.430		NaN				79263.617
[0,1,5,9,12]   		88806.330		NaN				79263.617
[0,1,5,9,13]   		86243.660		NaN				79263.617
[0,1,5,9,14]   		94504.400		NaN				79263.617
[0,1,5,9,15]   		95599.008		NaN				79263.617
[0,1,5,9,16]   		89375.587		NaN				79263.617
[0,1,5,9,17]   		84641.568		NaN				79263.617
[0,1,5,9,18]   		87349.727		NaN				79263.617
[0,1,5,9,19]   		95452.672		NaN				79263.617
[0,1,5,10,11]  		84522.894		NaN				79263.617
[0,1,5,10,12]  		88377.303		NaN				79263.617
[0,1,5,10,13]  		85541.086		NaN				79263.617
[0,1,5,10,14]  		93184.354		NaN				79263.617
[0,1,5,10,15]  		94288.321		NaN				79263.617
[0,1,5,10,16]  		89158.873		NaN				79263.617
