Hubs		Lower bound		Best objective function
[1,5,7,8]		22414.694570146945		21199.788439588796
[1,5,7,9]		22292.547731266975		21199.788439588796
[1,5,8,9]		24146.251253085535		21199.788439588796
[1,6,7,8]		24999.633118252354		21199.788439588796
[1,6,7,9]		23499.835751279403		21199.788439588796
[1,6,8,9]		26723.209619378584		21199.788439588796
[1,7,8,9]		23769.908408480078		21199.788439588796
[2,3,4,5]		23798.489724924897		21199.788439588796
[2,3,4,6]		24177.302889246763		21199.788439588796
[2,3,4,7]		25379.039299604327		21199.788439588796
[2,3,4,8]		23278.010194923565		21199.788439588796
[2,3,4,9]		22555.97933878951		21199.788439588796
[2,3,5,6]		22804.890034275275		21199.788439588796
[2,3,5,7]		26570.453988500783		21199.788439588796
[2,3,5,8]		27262.34598050429		21199.788439588796
[2,3,5,9]		27011.485184223282		21199.788439588796
[2,3,6,7]		24766.521434329927		21199.788439588796
[2,3,6,8]		22538.879971426235		21199.788439588796
[2,3,6,9]		21548.184046185204		21199.788439588796
[2,3,7,8]		26178.442697907594		21199.788439588796
[2,3,7,9]		25387.888922848797		21199.788439588796
[2,3,8,9]		27092.844507349248		21199.788439588796
[2,4,5,6]		22472.962193239502		21199.788439588796
[2,4,5,7]		23543.44859744503		21199.788439588796
[2,4,5,8]		23013.381832775824		21199.788439588796
[2,4,5,9]		22910.951815378605		21199.788439588796
[2,4,6,7]		24180.78330786353		21199.788439588796
[2,4,6,8]		22092.840528130884		21199.788439588796
[2,4,6,9]		21239.0261342277		21199.788439588796
[2,4,7,8]		23033.327170552348		21199.788439588796
[2,4,7,9]		22376.361810291586		21199.788439588796
[2,4,8,9]		22847.03123417588		21199.788439588796
[2,5,6,7]		22702.313571566512		21199.788439588796
[2,5,6,8]		22292.848296979846		21199.788439588796
[2,5,6,9]		22026.197346694287		21199.788439588796
[2,5,7,8]		25589.566269231254		21199.788439588796
[2,5,7,9]		25470.751450583677		21199.788439588796
[2,5,8,9]		27628.429037100792		21199.788439588796
[2,6,7,8]		22433.032739864826		21199.788439588796
[2,6,7,9]		21519.35910210911		21199.788439588796
[2,6,8,9]		22115.216414404236		21199.788439588796
[2,7,8,9]		25489.432420261088		21199.788439588796
[3,4,5,6]		22929.046904365605		21199.788439588796
[3,4,5,7]		24248.224784916085		21199.788439588796
[3,4,5,8]		23620.635374416226		21199.788439588796
[3,4,5,9]		23367.717836426345		21199.788439588796
[3,4,6,7]		26146.031730892493		21199.788439588796
[3,4,6,8]		23259.757327841045		21199.788439588796
[3,4,6,9]		22215.938044903487		21199.788439588796
[3,4,7,8]		24624.300250768178		21199.788439588796
[3,4,7,9]		23690.181405071173		21199.788439588796
[3,4,8,9]		24010.85216054811		21199.788439588796
[3,5,6,7]		23406.991771983456		21199.788439588796
[3,5,6,8]		22808.137159111102		21199.788439588796
[3,5,6,9]		22346.090126081384		21199.788439588796
[3,5,7,8]		26498.928480392653		21199.788439588796
[3,5,7,9]		26215.077657969505		21199.788439588796
[3,5,8,9]		28483.819874272653		21199.788439588796
[3,6,7,8]		23704.071609432067		21199.788439588796
[3,6,7,9]		22666.60843355588		21199.788439588796
[3,6,8,9]		23095.845140818044		21199.788439588796
[3,7,8,9]		26879.342643151103		21199.788439588796
[4,5,6,7]		23156.44869251595		21199.788439588796
[4,5,6,8]		23284.651839611448		21199.788439588796
[4,5,6,9]		22987.70666255653		21199.788439588796
[4,5,7,8]		23725.243981234333		21199.788439588796
[4,5,7,9]		23573.125487637666		21199.788439588796
[4,5,8,9]		25556.943248989268		21199.788439588796
[4,6,7,8]		24867.56255552096		21199.788439588796
[4,6,7,9]		23408.865479972297		21199.788439588796
[4,6,8,9]		25893.331779956938		21199.788439588796
[4,7,8,9]		25076.481072517814		21199.788439588796
[5,6,7,8]		22827.942939216915		21199.788439588796
[5,6,7,9]		22517.90377433792		21199.788439588796
[5,6,8,9]		24495.996009249728		21199.788439588796
[5,7,8,9]		26895.715969589524		21199.788439588796
[6,7,8,9]		24087.07974876022		21199.788439588796
elapsed time: 48820ms
