Hubs		Lower bound		Best objective function
[0,1,2,5,10]		94801.43131432631		94294.01896081987
[0,1,2,5,11]		89141.36129913866		93892.00895280625
[0,1,2,5,12]		89701.30358989397		93892.00895280625
[0,1,2,5,13]		91461.23821379463		93892.00895280625
[0,1,2,5,14]		96663.089568333		93892.00895280625
[0,1,2,5,15]		97629.09471731269		93892.00895280625
[0,1,2,5,16]		91397.95535946322		93892.00895280625
[0,1,2,5,17]		89930.41960776603		93892.00895280625
[0,1,2,5,18]		88450.11660924164		93228.3619853413
[0,1,2,5,19]		94717.03918019537		93228.3619853413
[0,1,2,6,7]		95742.62666789205		93228.3619853413
[0,1,2,6,8]		97906.9716201294		93228.3619853413
[0,1,2,6,9]		95680.07720394881		93228.3619853413
[0,1,2,6,10]		96753.1359270597		93228.3619853413
[0,1,2,6,11]		94340.00300198166		93228.3619853413
[0,1,2,6,12]		94762.06778797321		93228.3619853413
[0,1,2,6,13]		97352.01239705762		93228.3619853413
[0,1,2,6,14]		103012.29002753364		93228.3619853413
[0,1,2,6,15]		103393.49934825004		93228.3619853413
[0,1,2,6,16]		95402.38363628398		93228.3619853413
[0,1,2,6,17]		95742.62666789207		93228.3619853413
[0,1,2,6,18]		93457.06458792835		93228.3619853413
[0,1,2,6,19]		94375.50803147448		93228.3619853413
[0,1,2,7,8]		90319.06435872054		93228.3619853413
[0,1,2,7,9]		88243.3114928878		92657.80768177807
[0,1,2,7,10]		88806.80223529659		92657.80768177807
[0,1,2,7,11]		92210.26030966164		92657.80768177807
[0,1,2,7,12]		89808.95501217646		92657.80768177807
[0,1,2,7,13]		95289.00334225451		92657.80768177807
[0,1,2,7,14]		95110.35307307387		92657.80768177807
[0,1,2,7,15]		95804.9659039397		92657.80768177807
[0,1,2,7,16]		89280.57863743091		92657.80768177807
[0,1,2,7,17]		96560.87460517431		92657.80768177807
[0,1,2,7,18]		88740.48822865234		92657.80768177807
[0,1,2,7,19]		86991.3089878583		91438.69287277656
[0,1,2,8,9]		96290.7462743108		91438.69287277656
[0,1,2,8,10]		95876.596082824		91438.69287277656
[0,1,2,8,11]		89425.95614132151		91438.69287277656
[0,1,2,8,12]		90195.22429628979		91438.69287277656
[0,1,2,8,13]		91965.6085903297		91438.69287277656
[0,1,2,8,14]		97098.11962276231		91438.69287277656
[0,1,2,8,15]		98092.87770955793		91438.69287277656
[0,1,2,8,16]		91707.44828050598		91438.69287277656
[0,1,2,8,17]		90319.06435872054		91438.69287277656
[0,1,2,8,18]		88865.88841793119		91438.69287277656
[0,1,2,8,19]		94505.58441338118		91438.69287277656
[0,1,2,9,10]		94642.7393150874		91438.69287277656
[0,1,2,9,11]		87359.48140700419		91438.69287277656
[0,1,2,9,12]		88234.66092865611		91438.69287277656
[0,1,2,9,13]		89772.49185633691		91438.69287277656
[0,1,2,9,14]		94999.83325361872		91438.69287277656
[0,1,2,9,15]		95931.25375053777		91438.69287277656
[0,1,2,9,16]		90151.3935448234		91438.69287277656
[0,1,2,9,17]		88243.3114928878		91438.69287277656
[0,1,2,9,18]		86847.85651203123		91438.69287277656
[0,1,2,9,19]		94346.98200613153		91438.69287277656
[0,1,2,10,11]		88381.64547752912		91438.69287277656
[0,1,2,10,12]		89917.8827565322		91438.69287277656
[0,1,2,10,13]		90897.24168537112		91438.69287277656
[0,1,2,10,14]		95975.84978411492		91438.69287277656
[0,1,2,10,15]		96942.59192131224		91438.69287277656
[0,1,2,10,16]		92059.17688977357		91438.69287277656
[0,1,2,10,17]		88806.80223529658		91438.69287277656
[0,1,2,10,18]		88634.74254449745		91438.69287277656
[0,1,2,10,19]		94004.44490131916		91438.69287277656
[0,1,2,11,12]		91065.26629295462		91438.69287277656
[0,1,2,11,13]		93739.61570728636		91438.69287277656
[0,1,2,11,14]		93835.89247949795		91438.69287277656
[0,1,2,11,15]		94609.26940311209		91438.69287277656
[0,1,2,11,16]		90038.73669548566		91438.69287277656
[0,1,2,11,17]		92210.26030966162		91438.69287277656
[0,1,2,11,18]		90223.23708740112		91438.69287277656
[0,1,2,11,19]		86296.15725216831		90789.72401028042
[0,1,2,12,13]		91819.68996572794		90789.72401028042
[0,1,2,12,14]		94116.22062147084		90789.72401028042
[0,1,2,12,15]		94976.4608426125		90789.72401028042
[0,1,2,12,16]		91500.45448453625		90789.72401028042
[0,1,2,12,17]		89808.95501217646		90789.72401028042
[0,1,2,12,18]		94180.4531128394		90789.72401028042
[0,1,2,12,19]		87205.48790324102		90789.72401028042
[0,1,2,13,14]		96814.36480555961		90789.72401028042
[0,1,2,13,15]		97423.60669947181		90789.72401028042
[0,1,2,13,16]		91143.2605914072		90789.72401028042
[0,1,2,13,17]		95289.00334225452		90789.72401028042
[0,1,2,13,18]		90834.382328142		90789.72401028042
[0,1,2,13,19]		88449.15883351312		90789.72401028042
[0,1,2,14,15]		102624.0426295509		90789.72401028042
[0,1,2,14,16]		94541.51751951042		90789.72401028042
[0,1,2,14,17]		95110.35307307387		90789.72401028042
[0,1,2,14,18]		92694.02070374016		90789.72401028042
[0,1,2,14,19]		93696.58739732913		90789.72401028042
[0,1,2,15,16]		95612.01225331334		90789.72401028042
[0,1,2,15,17]		95804.96590393968		90789.72401028042
[0,1,2,15,18]		93698.80952567057		90789.72401028042
[0,1,2,15,19]		94649.90921292958		90789.72401028042
[0,1,2,16,17]		89280.5786374309		90789.72401028042
[0,1,2,16,18]		90572.76345219606		90789.72401028042
[0,1,2,16,19]		89321.27436976564		90789.72401028042
[0,1,2,17,18]		88740.48822865234		90789.72401028042
[0,1,2,17,19]		86991.3089878583		90789.72401028042
[0,1,2,18,19]		85853.97866470923		90432.41685369214
[0,1,3,4,5]		91015.41351847266		90432.41685369214
[0,1,3,4,6]		97196.88609068401		90432.41685369214
[0,1,3,4,7]		94481.23380701843		90432.41685369214
[0,1,3,4,8]		92118.42513625666		90432.41685369214
[0,1,3,4,9]		90052.97780229039		90432.41685369214
[0,1,3,4,10]		91053.20003798885		90432.41685369214
[0,1,3,4,11]		94085.34326133803		90432.41685369214
[0,1,3,4,12]		92055.57456994177		90432.41685369214
[0,1,3,4,13]		95517.80166324861		90432.41685369214
[0,1,3,4,14]		96942.94127703815		90432.41685369214
[0,1,3,4,15]		96450.93561338806		90432.41685369214
[0,1,3,4,16]		92278.48633581484		90432.41685369214
[0,1,3,4,17]		94481.23380701843		90432.41685369214
[0,1,3,4,18]		91044.42165197444		90432.41685369214
[0,1,3,4,19]		88549.3268783892		90432.41685369214
[0,1,3,5,6]		93465.50890892628		90432.41685369214
[0,1,3,5,7]		89296.87635414719		90432.41685369214
[0,1,3,5,8]		91830.31168992992		90432.41685369214
[0,1,3,5,9]		90990.15846372652		90432.41685369214
[0,1,3,5,10]		90928.88508776737		90432.41685369214
[0,1,3,5,11]		89849.42629418944		90432.41685369214
[0,1,3,5,12]		88570.73604309498		90432.41685369214
[0,1,3,5,13]		90851.8041175107		90432.41685369214
[0,1,3,5,14]		92786.96274784388		90432.41685369214
[0,1,3,5,15]		93288.28148062323		90432.41685369214
[0,1,3,5,16]		89825.03681008972		90432.41685369214
[0,1,3,5,17]		89296.87635414719		90432.41685369214
[0,1,3,5,18]		87628.10664289011		90432.41685369214
[0,1,3,5,19]		90638.35447344813		90432.41685369214
[0,1,3,6,7]		95138.13210367983		90432.41685369214
[0,1,3,6,8]		94239.11089257685		90432.41685369214
[0,1,3,6,9]		92049.4930779136		90432.41685369214
[0,1,3,6,10]		93052.14855605908		90432.41685369214
[0,1,3,6,11]		95511.02195277081		90432.41685369214
[0,1,3,6,12]		94103.70149403698		90432.41685369214
[0,1,3,6,13]		96645.33681923777		90432.41685369214
[0,1,3,6,14]		99225.31667650588		90432.41685369214
[0,1,3,6,15]		98747.030607826		90432.41685369214
[0,1,3,6,16]		94435.61960340707		90432.41685369214
[0,1,3,6,17]		95138.1321036798		90432.41685369214
[0,1,3,6,18]		93107.25587443958		90432.41685369214
[0,1,3,6,19]		90619.49417082654		90432.41685369214
[0,1,3,7,8]		90229.88932114314		90432.41685369214
[0,1,3,7,9]		88223.60605282924		90432.41685369214
[0,1,3,7,10]		89150.36598645724		90432.41685369214
[0,1,3,7,11]		93307.63681657409		90432.41685369214
[0,1,3,7,12]		90447.287587059		90432.41685369214
[0,1,3,7,13]		94920.47277200726		90432.41685369214
[0,1,3,7,14]		94630.43620602769		90432.41685369214
[0,1,3,7,15]		94514.57074847625		90432.41685369214
[0,1,3,7,16]		90188.793237597		90432.41685369214
[0,1,3,7,17]		96088.11146199168		90432.41685369214
[0,1,3,7,18]		89543.01685480948		90432.41685369214
[0,1,3,7,19]		86755.11775358225		90432.41685369214
[0,1,3,8,9]		92743.58249632633		90432.41685369214
[0,1,3,8,10]		92535.92721145118		90432.41685369214
[0,1,3,8,11]		90674.17836143194		90432.41685369214
[0,1,3,8,12]		89582.65585070991		90432.41685369214
[0,1,3,8,13]		91700.39667256526		90432.41685369214
[0,1,3,8,14]		93565.74509328931		90432.41685369214
[0,1,3,8,15]		93744.4852988769		90432.41685369214
[0,1,3,8,16]		90652.52883235159		90432.41685369214
[0,1,3,8,17]		90229.88932114313		90432.41685369214
[0,1,3,8,18]		88561.87755279877		90432.41685369214
[0,1,3,8,19]		90767.56285088061		90432.41685369214
[0,1,3,9,10]		91176.52458019898		90432.41685369214
[0,1,3,9,11]		88564.2546858788		90432.41685369214
[0,1,3,9,12]		87525.2733374441		90432.41685369214
[0,1,3,9,13]		89583.88762530308		90432.41685369214
[0,1,3,9,14]		91487.43947953197		90432.41685369214
[0,1,3,9,15]		91697.91263081925		90432.41685369214
[0,1,3,9,16]		88999.65495103688		90432.41685369214
[0,1,3,9,17]		88223.60605282924		90432.41685369214
[0,1,3,9,18]		86447.0265012667		90432.41685369214
[0,1,3,9,19]		90649.31447872994		90432.41685369214
[0,1,3,10,11]		89533.46986008508		90432.41685369214
[0,1,3,10,12]		88975.22097679488		90432.41685369214
[0,1,3,10,13]		90510.83950176528		90432.41685369214
[0,1,3,10,14]		92425.18473128676		90432.41685369214
[0,1,3,10,15]		92554.92812807692		90432.41685369214
[0,1,3,10,16]		90674.16410746177		90432.41685369214
[0,1,3,10,17]		89150.36598645723		90432.41685369214
[0,1,3,10,18]		88000.63834520761		90432.41685369214
[0,1,3,10,19]		90223.68218298155		90432.41685369214
[0,1,3,11,12]		92437.557981611		90432.41685369214
[0,1,3,11,13]		95018.26842096634		90432.41685369214
[0,1,3,11,14]		95126.42562836719		90432.41685369214
[0,1,3,11,15]		95027.29047169296		90432.41685369214
[0,1,3,11,16]		91658.42761912676		90432.41685369214
[0,1,3,11,17]		93307.63681657406		90432.41685369214
[0,1,3,11,18]		91626.24837168018		90432.41685369214
[0,1,3,11,19]		87048.62068604081		90432.41685369214
[0,1,3,12,13]		92280.0639270327		90432.41685369214
