Hubs		Lower bound		Best objective function
[1,2,3,8]		21724.784542606485		21923.57732889911
[1,2,3,9]		20897.89945004134		21643.078612116027
[1,2,4,5]		21495.805866423896		21643.078612116027
[1,2,4,6]		23611.216643898413		21643.078612116027
[1,2,4,7]		23175.998884567525		21643.078612116027
[1,2,4,8]		21278.88166384668		21643.078612116027
[1,2,4,9]		20539.834248403782		21199.788439588796
[1,2,5,6]		22109.863279158148		21199.788439588796
[1,2,5,7]		21697.719817979218		21199.788439588796
[1,2,5,8]		21332.94965597776		21199.788439588796
[1,2,5,9]		21224.15997237179		21199.788439588796
[1,2,6,7]		23801.858160307664		21199.788439588796
[1,2,6,8]		22013.644919472637		21199.788439588796
[1,2,6,9]		21114.30734410379		21199.788439588796
[1,2,7,8]		21542.27267066834		21199.788439588796
[1,2,7,9]		20765.96134926696		21199.788439588796
[1,2,8,9]		21317.76274414647		21199.788439588796
[1,3,4,5]		21807.810762670393		21199.788439588796
[1,3,4,6]		25116.42058121408		21199.788439588796
[1,3,4,7]		25000.1139924247		21199.788439588796
[1,3,4,8]		22332.373596419005		21199.788439588796
[1,3,4,9]		21325.69599039825		21199.788439588796
[1,3,5,6]		22653.4493158651		21199.788439588796
[1,3,5,7]		22300.865027603068		21199.788439588796
[1,3,5,8]		21751.614350117572		21199.788439588796
[1,3,5,9]		21513.975576634337		21199.788439588796
[1,3,6,7]		25297.329971053936		21199.788439588796
[1,3,6,8]		22960.254758122443		21199.788439588796
[1,3,6,9]		21904.260755447744		21199.788439588796
[1,3,7,8]		22747.929662568396		21199.788439588796
[1,3,7,9]		21766.891447570768		21199.788439588796
[1,3,8,9]		22121.710241530596		21199.788439588796
[1,4,5,6]		23193.4698459323		21199.788439588796
[1,4,5,7]		22033.99596104207		21199.788439588796
[1,4,5,8]		22253.181858208623		21199.788439588796
[1,4,5,9]		22109.49675398589		21199.788439588796
[1,4,6,7]		28795.873910730683		21199.788439588796
[1,4,6,8]		26984.014195235417		21199.788439588796
[1,4,6,9]		24744.035586429643		21199.788439588796
[1,4,7,8]		23874.7185390661		21199.788439588796
[1,4,7,9]		22479.820843025842		21199.788439588796
[1,4,8,9]		24773.315087589664		21199.788439588796
[1,5,6,7]		22567.337269539967		21199.788439588796
[1,5,6,8]		23409.49539319351		21199.788439588796
[1,5,6,9]		23088.048140323765		21199.788439588796
[1,5,7,8]		21761.51388813311		21199.788439588796
[1,5,7,9]		21625.016600796855		21199.788439588796
[1,5,8,9]		23393.58367055204		21199.788439588796
[1,6,7,8]		24334.738737029686		21199.788439588796
[1,6,7,9]		22901.921682660533		21199.788439588796
[1,6,8,9]		25949.41014626713		21199.788439588796
[1,7,8,9]		23098.73935498272		21199.788439588796
[2,3,4,5]		23126.573354208627		21199.788439588796
[2,3,4,6]		23534.555219878006		21199.788439588796
[2,3,4,7]		24706.199476745078		21199.788439588796
[2,3,4,8]		22751.74173740113		21199.788439588796
[2,3,4,9]		22008.6608758226		21199.788439588796
[2,3,5,6]		22142.763076646905		21199.788439588796
[2,3,5,7]		25669.158814418155		21199.788439588796
[2,3,5,8]		26364.153256804522		21199.788439588796
[2,3,5,9]		26117.30190856149		21199.788439588796
[2,3,6,7]		24018.20582502068		21199.788439588796
[2,3,6,8]		21958.10905668124		21199.788439588796
[2,3,6,9]		21062.82548570821		21199.788439588796
[2,3,7,8]		25375.055969836732		21199.788439588796
[2,3,7,9]		24583.345911233995		21199.788439588796
[2,3,8,9]		26242.28494363618		21199.788439588796
[2,4,5,6]		21859.187214231668		21199.788439588796
[2,4,5,7]		22883.983535535543		21199.788439588796
[2,4,5,8]		22487.37890812794		21199.788439588796
[2,4,5,9]		22320.6495134489		21199.788439588796
[2,4,6,7]		23456.922439987593		21199.788439588796
[2,4,6,8]		21602.331755087784		21199.788439588796
[2,4,6,9]		20794.885861237002		21199.788439588796
[2,4,7,8]		22509.787906894086		21199.788439588796
[2,4,7,9]		21805.920444401396		21199.788439588796
[2,4,8,9]		22362.51711068309		21199.788439588796
[2,5,6,7]		21986.4490267004		21199.788439588796
[2,5,6,8]		21631.155667189247		21199.788439588796
[2,5,6,9]		21418.663727377836		21199.788439588796
[2,5,7,8]		24789.27401026834		21199.788439588796
[2,5,7,9]		24623.44616044094		21199.788439588796
[2,5,8,9]		26643.09317962062		21199.788439588796
[2,6,7,8]		21791.070622822852		21199.788439588796
[2,6,7,9]		20946.36082301359		21199.788439588796
[2,6,8,9]		21547.59779868515		21199.788439588796
[2,7,8,9]		24703.096127380646		21199.788439588796
[3,4,5,6]		22248.714618804694		21199.788439588796
[3,4,5,7]		23570.82785788007		21199.788439588796
[3,4,5,8]		22961.48230642117		21199.788439588796
[3,4,5,9]		22709.409331736515		21199.788439588796
[3,4,6,7]		25390.57946685907		21199.788439588796
[3,4,6,8]		22752.226293995183		21199.788439588796
[3,4,6,9]		21667.56158860518		21199.788439588796
[3,4,7,8]		24087.935188897838		21199.788439588796
[3,4,7,9]		23176.204859243357		21199.788439588796
[3,4,8,9]		23470.368162716295		21199.788439588796
[3,5,6,7]		22667.116744650786		21199.788439588796
[3,5,6,8]		22133.37957850546		21199.788439588796
[3,5,6,9]		21786.001839966913		21199.788439588796
[3,5,7,8]		25604.22037852475		21199.788439588796
[3,5,7,9]		25339.223800256008		21199.788439588796
[3,5,8,9]		27462.57275791092		21199.788439588796
[3,6,7,8]		23093.130221057992		21199.788439588796
[3,6,7,9]		22034.104906691107		21199.788439588796
[3,6,8,9]		22446.513179247802		21199.788439588796
[3,7,8,9]		26077.843066330282		21199.788439588796
[4,5,6,7]		22465.547867543508		21199.788439588796
[4,5,6,8]		22705.397875661227		21199.788439588796
[4,5,6,9]		22451.973806383186		21199.788439588796
[4,5,7,8]		23131.970172571484		21199.788439588796
[4,5,7,9]		22932.388077922522		21199.788439588796
[4,5,8,9]		24842.100364504917		21199.788439588796
[4,6,7,8]		24290.32200872106		21199.788439588796
[4,6,7,9]		22812.334491599904		21199.788439588796
[4,6,8,9]		25281.889904315056		21199.788439588796
[4,7,8,9]		24564.63672615129		21199.788439588796
[5,6,7,8]		22133.92716688813		21199.788439588796
[5,6,7,9]		21887.690914496565		21199.788439588796
[5,6,8,9]		23776.019923472933		21199.788439588796
[5,7,8,9]		25964.26680052711		21199.788439588796
[6,7,8,9]		23414.19034306706		21199.788439588796
elapsed time: 2021ms
